Donor ID	Age	Signs of confusion 6 mo	Rater 1 Blood Clearance - Region H 	Rater 2 Blood Clearance - Region H 	Rater 1 Blood Clearance - Region T	Rater 2 Blood Clearance - Region T	Consensus Blood Clearance (0-3 Scale) - Region H	Consensus Blood Clearance (0-3 Scale) - Region T	Area of box (T)	Lipofuscin density (T)	Lipofuscin % (T) 	Lipofuscin number of annotations  (T)	Area of box (H)	Lipofuscin density (H)	Lipofuscin % (H) 	Lipofuscin number of annotations  (H)
91	16 years	Yes	1	1	1	0	1	1	1000038.534	8703.66461	0.87%	44	999995.3024	7232.033973	0.72%	54
171	15 years	Yes, mild	2	2	2	1	2	2	1000073.63	17550.70774	1.76%	96	1000013.23	18879.75023	1.89%	95
204	18 years 	Yes, moderate	1	0	0	0	0	0	1000095.97	27837.32845	2.78%	136	1000009.92	42591.5775	4.26%	253
214	14 years	Yes, moderate	1	0	0	0	1	0	1000063.219	8215.48063	0.82%	51	1000005.783	2623.984826	0.26%	34
220	5 years	No	1	0	1	1	0	1	1000075.285	639.9518214	0.06%	8	999995.3024	640.0030065	0.06%	10
226	17 years	Yes, severe	2	3	3	3	2	3	1000084.248	14910.74379	1.49%	74	1000004.128	20600.91496	2.06%	90
228	13 years	No	3	2	2	1	3	2	1000056.255	11223.36864	1.12%	91	999990.4759	71848.68429	7.18%	279
229	12 years	Yes, severe	1	1	1	1	1	1	1000013.23	9247.877655	0.92%	74	1000000.129	10271.99867	1.03%	78
230	12 years	No	1	1	1	1	1	1	1000028.123	30527.14149	3.05%	175	1000013.23	7079.906336	0.71%	31
235	8 years	No	1	1	1	1	1	1	999990.4759	1792.017067	0.18%	10	1000000.129	1791.999769	0.18%	11
238	11 years	Yes, mild	3	3	3	3	3	3	1000009.92	3903.961273	0.39%	30	1000000.129	7519.99903	0.75%	57
240	12 years	Yes, moderate	3	2	2	2	2	2	1000000.129	14522.99813	1.45%	93	1000005.783	13503.92191	1.35%	69
250	15 years	Yes, mild	2	2	2	2	2	2	999994.1992	24351.14126	2.44%	200	999997.5088	5184.012914	0.52%	30
261	6 years	No	2	2	2	2	2	2	999990.4759	2816.02682	0.28%	32	1000005.783	4031.976683	0.40%	40
270	10 years	No	2	1	2	1	2	1	999997.302	2216.005979	0.22%	18	999996.6814	3072.010195	0.31%	21
272	12 years	Unknown	2	2	2	1	2	2	1000005.783	4359.974787	0.44%	47	1000004.128	1663.993131	0.17%	16
275	12 years	Yes, severe	3	3	2	2	3	2	1000004.128	8127.966447	0.81%	42	999997.5088	7632.019013	0.76%	63
281	9 years	No	2	2	2	2	2	2	1000013.23	4399.941791	0.44%	25	999995.3024	5696.026758	0.57%	23
291	26 years	Yes	0	1	1	0	0	0	999996.6814	19976.06629	2.00%	127	999996.6814	32184.10681	3.22%	151
296	1 year	No	3	3	3	3	3	3	1000013.23	63.99915332	0.01%	1	1000007.3	0	0.00%	0
299	17 years	No	3	2	3	3	2	3	1000011.299	34023.61557	3.40%	189	999989.7864	6992.071414	0.70%	64